id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17475,Rental unit in 08013 Barcelona · ★4.40 · 1 bedroom · 1 bed · 1 bath,65623,Luca,Eixample,la Dreta de l'Eixample,41.39939,2.17044,Entire home/apt,140,5,26,2023-12-04,0.16,1,32,9,
18674,Rental unit in Barcelona · ★4.33 · 3 bedrooms · 6 beds · 2 baths,71615,Mireia  Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,121,1,40,2023-11-07,0.31,30,39,7,HUTB-002062
198958,Rental unit in Barcelona · ★4.69 · 4 bedrooms · 6 beds · 2 baths,971768,Laura,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40805,2.21487,Entire home/apt,304,2,105,2023-10-16,0.74,9,137,26,HUTB-000926
23197,Rental unit in Sant Adria de Besos · ★4.77 · 3 bedrooms · 4 beds · 2 baths,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,200,3,75,2023-11-25,0.48,2,300,11,HUTB005057
32711,Rental unit in Barcelona · ★4.48 · 2 bedrooms · 3 beds · 1.5 baths,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,79,1,99,2023-10-18,0.66,3,297,16,HUTB-001722
199794,Rental unit in Barcelona · ★4.80 · 1 bedroom · 1 bed · 2 shared baths,440825,Teresa,Eixample,l'Antiga Esquerra de l'Eixample,41.38359,2.15812,Private room,48,4,168,2023-11-18,1.34,1,18,29,Exempt
34241,Condo in Barcelona · ★3.40 · 1 bedroom · 1 bed · 1 bath,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38062,2.17517,Entire home/apt,120,5,8,2013-07-15,0.05,3,90,0,Exempt
206122,Rental unit in Barcelona · ★4.71 · 2 bedrooms · 2 beds · 1 bath,1013855,Alejandro,Gràcia,la Vila de Gràcia,41.39877,2.15887,Entire home/apt,120,4,244,2023-12-11,1.67,1,129,44,HUTB-004315
206167,Rental unit in Barcelona · ★4.88 · 1 bedroom · 1 bed · 1 bath,1014050,Minerva,Sants-Montjuïc,el Poble Sec,41.3724,2.1648,Entire home/apt,150,3,142,2023-10-12,0.96,1,0,22,HUTB-009804
34981,Rental unit in Barcelona · ★4.53 · 4 bedrooms · 6 beds · 3 baths,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,226,5,217,2023-11-26,1.35,3,228,27,HUTB-150671
36763,Rental unit in Barcelona · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,30,31,108,2023-10-10,0.73,1,210,4,
209673,Rental unit in Barcelona · ★4.78 · 2 bedrooms · 3 beds · 1 bath,1033366,Elena,Gràcia,la Vila de Gràcia,41.398,2.1553,Entire home/apt,81,2,339,2023-11-17,2.54,1,235,31,HUTB-010932
40983,Condo in Barcelona · ★4.40 · 1 bedroom · 2 beds · 1 bath,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,81,2,290,2023-11-16,1.91,6,287,39,HUTB-001282
214970,Rental unit in Barcelona · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,1110014,Janeth,Sants-Montjuïc,el Poble Sec,41.37042,2.16411,Private room,35,7,155,2022-10-31,1.11,1,357,0,
41952,Rental unit in Barcelona · ★4.32 · 2 bedrooms · 4 beds · 2 baths,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,164,3,75,2023-09-10,0.53,3,346,14,HUTB-003549
223096,Loft in Barcelona · ★4.81 · 2 bedrooms · 2 beds · 2 baths,874133,Barbara,Sants-Montjuïc,Sants,41.37364,2.13906,Entire home/apt,,31,61,2023-10-02,0.42,1,0,12,Exempt
46153,Rental unit in Barcelona · ★4.17 · 2 bedrooms · 3 beds · 1 bath,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38956,2.17759,Entire home/apt,70,31,6,2023-06-16,0.04,2,243,1,Exempt
49968,Rental unit in Barcelona · ★4.60 · 2 bedrooms · 7 beds · 1 bath,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,79,1,89,2023-11-25,0.59,3,305,22,HUTB-001723
234375,Rental unit in Barcelona · ★4.66 · 1 bedroom · 2 beds · 1 bath,1227290,Francesca,Eixample,el Fort Pienc,41.39970016479492,2.1748878955841064,Entire home/apt,161,7,88,2023-12-08,1.11,1,73,21,HUTB-003754
68547,Vacation home in Barcelona · ★4.74 · 2 bedrooms · 2 beds · 2 baths,340570,Audun,Ciutat Vella,el Barri Gòtic,41.3806,2.17796,Entire home/apt,120,31,92,2021-08-10,0.60,2,333,0,
71520,Rental unit in Barcelona · 3 bedrooms · 5 beds · 3.5 baths,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,250,5,1,2011-06-23,0.01,1,159,0,HUTB-007966
238703,Rental unit in Barcelona · ★4.37 · 4 bedrooms · 7 beds · 2 baths,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,248,2,89,2023-11-04,0.77,19,79,8,HUTB000330
71553,Rental unit in Barcelona · ★4.23 · 1 bedroom · 1 bed · 1.5 baths,366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,193,3,81,2023-11-10,0.52,4,20,9,HUTB-002424
239821,Rental unit in Barcelona · ★4.15 · 3 bedrooms · 6 beds · 1 bath,1257705,José Luis,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39653,2.1442,Entire home/apt,200,2,48,2023-09-16,0.45,4,262,13,HUTB-005673
71736,Rental unit in Barcelona · ★4.0 · 4 bedrooms · 5 beds · 1.5 baths,368317,Nacharosa,Ciutat Vella,el Raval,41.38174,2.16663,Entire home/apt,68,28,9,2012-08-20,0.06,7,365,0,
72436,Serviced apartment in Barcelona · ★4.74 · 1 bedroom · 2 beds · 1 bath,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,94,1,763,2023-12-07,6.72,6,284,158,HUTB-000173
241614,Rental unit in Barcelona · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,1184485,Nacho,Ciutat Vella,el Barri Gòtic,41.37918,2.17733,Entire home/apt,214,4,33,2023-12-04,0.23,1,125,8,
72793,Rental unit in Barcelona · 2 bedrooms · 2 beds · 1 bath,368317,Nacharosa,Ciutat Vella,el Raval,41.38104,2.16565,Entire home/apt,60,28,1,2014-08-27,0.01,7,347,0,
72794,Rental unit in Barcelona · ★4.33 · 1 bedroom · 1 bed · 1.5 baths,368317,Nacharosa,Ciutat Vella,el Raval,41.38214,2.16568,Entire home/apt,80,28,7,2014-08-23,0.05,7,347,0,
73683,Rental unit in Barcelona · ★4.58 · 4 bedrooms · 14 beds · 2 baths,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,164,2,200,2023-12-06,1.31,3,297,34,HUTB-001723
75003,Rental unit in Barcelona · ★4.19 · 2 bedrooms · 3 beds · 1 bath,396363,Alcam Apartments,Eixample,la Sagrada Família,41.40399,2.17802,Entire home/apt,94,1,44,2023-11-27,0.29,96,0,14,HUTB-001363
242335,Rental unit in Barcelona · ★4.33 · 3 bedrooms · 4 beds · 1 bath,297885449,ByMonths,Ciutat Vella,la Barceloneta,41.38113,2.18897,Entire home/apt,82,60,5,2022-07-31,0.04,24,0,0,Monthly rental only
75411,Rental unit in Barcelona · ★4.42 · 3 bedrooms · 4 beds · 1 bath,400154,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,187,3,89,2023-12-12,0.61,9,102,26,HUTB-000083
252232,Rental unit in Barcelona · ★4.52 · 3 bedrooms · 3 beds · 1 bath,1298586,Kristjan & Ana,Sant Martí,Sant Martí de Provençals,41.41626,2.20149,Entire home/apt,144,2,134,2023-12-04,0.93,7,345,4,HUTB-009465
80004,Rental unit in Barcelona · ★4.64 · 3 bedrooms · 3 beds · 1 bath,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,140,5,176,2023-12-04,1.15,1,103,23,HUTB-004026
253030,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath,1008598,Dana,Sant Andreu,Navas,41.41508,2.18857,Private room,30,3,2,2023-05-31,0.28,1,0,2,
89756,Rental unit in Barcelona · ★4.70 · 3 bedrooms · 7 beds · 1 bath,488117,David Y Maria,Ciutat Vella,el Raval,41.37861,2.16737,Entire home/apt,160,6,23,2023-06-26,0.17,6,298,2,HUTB-013579
255195,Rental unit in Barcelona · ★4.43 · 1 bedroom · 2 beds · 1 bath,1310304,Luis,Ciutat Vella,el Raval,41.3817,2.17195,Entire home/apt,38,32,25,2023-09-03,0.17,43,293,1,
89776,Rental unit in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1 bath,3556337,Alejandro,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,95,1,349,2023-11-26,2.37,51,322,15,HUTB-002215
256354,Rental unit in Barcelona · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,1348378,Lidia,Gràcia,Vallcarca i els Penitents,41.413368225097656,2.1388769149780273,Private room,28,31,69,2023-09-02,0.48,2,202,4,
97529,Rental unit in Barcelona · ★4.74 · 1 bedroom · 1 bed · 1 bath,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.408790588378906,2.1660659313201904,Entire home/apt,47,120,67,2022-10-31,0.46,1,0,0,
256677,Rental unit in Barcelona · ★4.52 · 1 bedroom · 1 bed · 1 shared bath,1350468,Petrutz,Ciutat Vella,el Barri Gòtic,41.3801,2.17693,Private room,60,31,220,2023-10-28,1.56,1,350,33,
110041,Rental unit in Barcelona · ★4.15 · 1 bedroom · 2 beds · 1 bath,396363,Alcam Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,94,1,47,2023-12-03,0.34,96,164,12,HUTB-003671
256982,Rental unit in Barcelona · ★4.62 · 1 bedroom · 2 beds · Shared half-bath,1352184,Jasmin,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38333,2.18095,Private room,45,31,128,2022-10-18,0.91,1,365,0,
112538,Rental unit in Barcelona · ★4.40 · 3 bedrooms · 6 beds · 2 baths,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,258,2,118,2023-11-11,0.78,19,50,13,HUTB-000333
117010,Rental unit in Barcelona · ★4.58 · 3 bedrooms · 6 beds · 2 baths,567180,Sandra,Eixample,la Sagrada Família,41.40647,2.17457,Entire home/apt,248,2,50,2023-11-19,0.33,19,63,9,HUTB000331
118228,Rental unit in Barcelona · ★4.58 · 3 bedrooms · 5 beds · 2 baths,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,258,2,56,2023-10-29,0.38,19,0,14,HUTB-000328
128463,Rental unit in Barcelona · ★4.86 · 1 bedroom · 1 bed · 2 baths,635253,Sebastian,Sants-Montjuïc,Sants,41.37155,2.13664,Entire home/apt,72,3,403,2023-12-06,2.70,1,0,55,HUTB-012603
267816,Boat in Barcelona · ★4.50 · 4 bedrooms · 6 beds · 4 baths,1404293,Sergio,Ciutat Vella,el Barri Gòtic,41.37781,2.18445,Entire home/apt,1000,2,35,2023-10-25,0.25,1,360,3,Exempt
135513,Rental unit in Barcelona · ★4.64 · 2 bedrooms · 3 beds · 1.5 baths,664196,Teresa,Sant Martí,el Poblenou,41.39787,2.20429,Entire home/apt,150,2,127,2021-09-23,0.86,2,246,0,
136670,Rental unit in Barcelona · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,610674,Maria,Les Corts,Pedralbes,41.38832,2.12201,Private room,40,32,133,2023-10-29,0.89,3,295,4,
